delta-m,delta-cm,F_app_over_g-kg,F_app_over_g-lbs,delta_height-m,delta_height-cm
0,0,0,0,0,0
0.01,1,13.33333333,29.39493333,0.000967742,0.096774194
0.02,2,26.66666667,58.78986667,0.00195122,0.195121951
0.03,3,40,88.1848,0.00295082,0.295081967
0.04,4,53.33333333,117.5797333,0.003966942,0.396694215
0.05,5,66.66666667,146.9746667,0.005,0.5
0.06,6,80,176.3696,0.00605042,0.605042017
0.07,7,93.33333333,205.7645333,0.007118644,0.711864407
0.08,8,106.6666667,235.1594667,0.008205128,0.820512821
0.09,9,120,264.5544,0.009310345,0.931034483
0.1,10,133.3333333,293.9493333,0.010434783,1.043478261
0.11,11,146.6666667,323.3442667,0.011578947,1.157894737
0.12,12,160,352.7392,0.012743363,1.274336283
0.13,13,173.3333333,382.1341333,0.013928571,1.392857143
0.14,14,186.6666667,411.5290667,0.015135135,1.513513514
0.15,15,200,440.924,0.016363636,1.636363636
0.16,16,213.3333333,470.3189333,0.017614679,1.76146789
0.17,17,226.6666667,499.7138667,0.018888889,1.888888889
0.18,18,240,529.1088,0.020186916,2.018691589
0.19,19,253.3333333,558.5037333,0.021509434,2.150943396
0.2,20,266.6666667,587.8986667,0.022857143,2.285714286
0.21,21,280,617.2936,0.024230769,2.423076923
0.22,22,293.3333333,646.6885333,0.025631068,2.563106796
0.23,23,306.6666667,676.0834667,0.027058824,2.705882353
0.24,24,320,705.4784,0.028514851,2.851485149
0.25,25,333.3333333,734.8733333,0.03,3
0.26,26,346.6666667,764.2682667,0.031515152,3.151515152
0.27,27,360,793.6632,0.033061224,3.306122449
0.28,28,373.3333333,823.0581333,0.034639175,3.463917526
0.29,29,386.6666667,852.4530667,0.03625,3.625
0.3,30,400,881.848,0.037894737,3.789473684
0.31,31,413.3333333,911.2429333,0.039574468,3.957446809
0.32,32,426.6666667,940.6378667,0.041290323,4.129032258
0.33,33,440,970.0328,0.043043478,4.304347826
0.34,34,453.3333333,999.4277333,0.044835165,4.483516484
0.35,35,466.6666667,1028.822667,0.046666667,4.666666667
0.36,36,480,1058.2176,0.048539326,4.853932584
0.37,37,493.3333333,1087.612533,0.050454545,5.045454545
0.38,38,506.6666667,1117.007467,0.052413793,5.24137931
0.39,39,520,1146.4024,0.054418605,5.441860465
0.4,40,533.3333333,1175.797333,0.056470588,5.647058824
0.41,41,546.6666667,1205.192267,0.058571429,5.857142857
0.42,42,560,1234.5872,0.060722892,6.072289157
0.43,43,573.3333333,1263.982133,0.062926829,6.292682927
0.44,44,586.6666667,1293.377067,0.065185185,6.518518519
0.45,45,600,1322.772,0.0675,6.75
0.46,46,613.3333333,1352.166933,0.069873418,6.987341772
0.47,47,626.6666667,1381.561867,0.072307692,7.230769231
0.48,48,640,1410.9568,0.074805195,7.480519481
0.49,49,653.3333333,1440.351733,0.077368421,7.736842105
0.5,50,666.6666667,1469.746667,0.08,8
0.51,51,680,1499.1416,0.082702703,8.27027027
0.52,52,693.3333333,1528.536533,0.085479452,8.547945205
0.53,53,706.6666667,1557.931467,0.088333333,8.833333333
0.54,54,720,1587.3264,0.091267606,9.126760563
0.55,55,733.3333333,1616.721333,0.094285714,9.428571429
0.56,56,746.6666667,1646.116267,0.097391304,9.739130435
0.57,57,760,1675.5112,0.100588235,10.05882353
0.58,58,773.3333333,1704.906133,0.103880597,10.3880597
0.59,59,786.6666667,1734.301067,0.107272727,10.72727273
0.6,60,800,1763.696,0.110769231,11.07692308
0.61,61,813.3333333,1793.090933,0.114375,11.4375
0.62,62,826.6666667,1822.485867,0.118095238,11.80952381
0.63,63,840,1851.8808,0.121935484,12.19354839
0.64,64,853.3333333,1881.275733,0.125901639,12.59016393
0.65,65,866.6666667,1910.670667,0.13,13
0.66,66,880,1940.0656,0.134237288,13.42372881
0.67,67,893.3333333,1969.460533,0.13862069,13.86206897
0.68,68,906.6666667,1998.855467,0.143157895,14.31578947
0.69,69,920,2028.2504,0.147857143,14.78571429
0.7,70,933.3333333,2057.645333,0.152727273,15.27272727
0.71,71,946.6666667,2087.040267,0.157777778,15.77777778
0.72,72,960,2116.4352,0.163018868,16.30188679
0.73,73,973.3333333,2145.830133,0.168461538,16.84615385
0.74,74,986.6666667,2175.225067,0.174117647,17.41176471
0.75,75,1000,2204.62,0.18,18
0.76,76,1013.333333,2234.014933,0.186122449,18.6122449
0.77,77,1026.666667,2263.409867,0.1925,19.25
0.78,78,1040,2292.8048,0.199148936,19.91489362
0.79,79,1053.333333,2322.199733,0.206086957,20.60869565
0.8,80,1066.666667,2351.594667,0.213333333,21.33333333
0.81,81,1080,2380.9896,0.220909091,22.09090909
0.82,82,1093.333333,2410.384533,0.228837209,22.88372093
0.83,83,1106.666667,2439.779467,0.237142857,23.71428571
0.84,84,1120,2469.1744,0.245853659,24.58536585
0.85,85,1133.333333,2498.569333,0.255,25.5
0.86,86,1146.666667,2527.964267,0.264615385,26.46153846
0.87,87,1160,2557.3592,0.274736842,27.47368421
0.88,88,1173.333333,2586.754133,0.285405405,28.54054054
0.89,89,1186.666667,2616.149067,0.296666667,29.66666667
0.9,90,1200,2645.544,0.308571429,30.85714286
0.91,91,1213.333333,2674.938933,0.321176471,32.11764706
0.92,92,1226.666667,2704.333867,0.334545455,33.45454545
0.93,93,1240,2733.7288,0.34875,34.875
0.94,94,1253.333333,2763.123733,0.363870968,36.38709677
0.95,95,1266.666667,2792.518667,0.38,38
0.96,96,1280,2821.9136,0.397241379,39.72413793
0.97,97,1293.333333,2851.308533,0.415714286,41.57142857
0.98,98,1306.666667,2880.703467,0.435555556,43.55555556
0.99,99,1320,2910.0984,0.456923077,45.69230769
1,100,1333.333333,2939.493333,0.48,48
1.01,101,1346.666667,2968.888267,0.505,50.5
1.02,102,1360,2998.2832,0.532173913,53.2173913
1.03,103,1373.333333,3027.678133,0.561818182,56.18181818
1.04,104,1386.666667,3057.073067,0.594285714,59.42857143
1.05,105,1400,3086.468,0.63,63
1.06,106,1413.333333,3115.862933,0.669473684,66.94736842
1.07,107,1426.666667,3145.257867,0.713333333,71.33333333
1.08,108,1440,3174.6528,0.762352941,76.23529412
1.09,109,1453.333333,3204.047733,0.8175,81.75
1.1,110,1466.666667,3233.442667,0.88,88
1.11,111,1480,3262.8376,0.951428571,95.14285714
1.12,112,1493.333333,3292.232533,1.033846154,103.3846154
1.13,113,1506.666667,3321.627467,1.13,113
1.14,114,1520,3351.0224,1.243636364,124.3636364
1.15,115,1533.333333,3380.417333,1.38,138
1.16,116,1546.666667,3409.812267,1.546666667,154.6666667
1.17,117,1560,3439.2072,1.755,175.5
1.18,118,1573.333333,3468.602133,2.022857143,202.2857143
1.19,119,1586.666667,3497.997067,2.38,238
1.2,120,1600,3527.392,2.88,288
1.21,121,1613.333333,3556.786933,3.63,363
1.22,122,1626.666667,3586.181867,4.88,488
1.23,123,1640,3615.5768,7.38,738
1.24,124,1653.333333,3644.971733,14.88,1488
