time_min,train_1_displacement_miles,train_2_displacement_miles,bird_displacement_miles
0,0,100,0
0.016666667,0.013888889,99.98611111,0.066666667
0.033333333,0.027777778,99.97222222,0.133333333
0.05,0.041666667,99.95833333,0.2
0.066666667,0.055555556,99.94444444,0.266666667
0.083333333,0.069444444,99.93055556,0.333333333
0.1,0.083333333,99.91666667,0.4
0.116666667,0.097222222,99.90277778,0.466666667
0.133333333,0.111111111,99.88888889,0.533333333
0.15,0.125,99.875,0.6
0.166666667,0.138888889,99.86111111,0.666666667
0.183333333,0.152777778,99.84722222,0.733333333
0.2,0.166666667,99.83333333,0.8
0.216666667,0.180555556,99.81944444,0.866666667
0.233333333,0.194444444,99.80555556,0.933333333
0.25,0.208333333,99.79166667,1
0.266666667,0.222222222,99.77777778,1.066666667
0.283333333,0.236111111,99.76388889,1.133333333
0.3,0.25,99.75,1.2
0.316666667,0.263888889,99.73611111,1.266666667
0.333333333,0.277777778,99.72222222,1.333333333
0.35,0.291666667,99.70833333,1.4
0.366666667,0.305555556,99.69444444,1.466666667
0.383333333,0.319444444,99.68055556,1.533333333
0.4,0.333333333,99.66666667,1.6
0.416666667,0.347222222,99.65277778,1.666666667
0.433333333,0.361111111,99.63888889,1.733333333
0.45,0.375,99.625,1.8
0.466666667,0.388888889,99.61111111,1.866666667
0.483333333,0.402777778,99.59722222,1.933333333
0.5,0.416666667,99.58333333,2
0.516666667,0.430555556,99.56944444,2.066666667
0.533333333,0.444444444,99.55555556,2.133333333
0.55,0.458333333,99.54166667,2.2
0.566666667,0.472222222,99.52777778,2.266666667
0.583333333,0.486111111,99.51388889,2.333333333
0.6,0.5,99.5,2.4
0.616666667,0.513888889,99.48611111,2.466666667
0.633333333,0.527777778,99.47222222,2.533333333
0.65,0.541666667,99.45833333,2.6
0.666666667,0.555555556,99.44444444,2.666666667
0.683333333,0.569444444,99.43055556,2.733333333
0.7,0.583333333,99.41666667,2.8
0.716666667,0.597222222,99.40277778,2.866666667
0.733333333,0.611111111,99.38888889,2.933333333
0.75,0.625,99.375,3
0.766666667,0.638888889,99.36111111,3.066666667
0.783333333,0.652777778,99.34722222,3.133333333
0.8,0.666666667,99.33333333,3.2
0.816666667,0.680555556,99.31944444,3.266666667
0.833333333,0.694444444,99.30555556,3.333333333
0.85,0.708333333,99.29166667,3.4
0.866666667,0.722222222,99.27777778,3.466666667
0.883333333,0.736111111,99.26388889,3.533333333
0.9,0.75,99.25,3.6
0.916666667,0.763888889,99.23611111,3.666666667
0.933333333,0.777777778,99.22222222,3.733333333
0.95,0.791666667,99.20833333,3.8
0.966666667,0.805555556,99.19444444,3.866666667
0.983333333,0.819444444,99.18055556,3.933333333
1,0.833333333,99.16666667,4
